role,output_field,n_samples,visible_tokens_avg,visible_tokens_p50,visible_tokens_p95,consumer_category,examples
analyst,calibration_data_window_end,36,1.12,1.12,1.12,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""\""""}]"
analyst,calibration_data_window_start,36,1.12,1.12,1.12,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""\""""}]"
analyst,calibration_model_version,36,1.12,1.12,1.12,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""\""""}]"
analyst,material_contradictions,36,8.912,1.12,39.195,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
analyst,missing_required_evidence,36,1.12,1.12,1.12,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
analyst,raw_allow,36,1.089,1.12,1.12,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""false""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""false""}]"
analyst,rejection_codes,36,4.246,1.12,13.858,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
adjudicator,candidate_index,7,0.635,0.635,0.635,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0""}]"
critic,candidate_index,36,0.583,0.583,0.583,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0""}]"
analyst,calibrated_win_probability,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""null""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""null""}]"
analyst,calibration_lower_bound,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""null""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""null""}]"
analyst,calibration_sample_size,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0""}]"
analyst,calibration_upper_bound,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""null""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""null""}]"
analyst,candidate_index,36,0.56,0.56,0.56,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0""}]"
analyst,expected_net_r,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""null""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""null""}]"
analyst,oos_predicted_probability,36,0.56,0.56,0.56,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""null""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""null""}]"
analyst,thesis_supported,36,0.7,0.56,1.12,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""true""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""true""}]"
